Id,GrLivArea,TotRmsAbvGrd,LotArea,GarageArea,SalePrice,OverallQual,YearBuilt,YearRemodAdd,TotalBsmtSF,2ndFlrSF,Neighborhood,RoofMatl,KitchenAbvGr,LotFrontage,1stFlrSF,MasVnrArea,WoodDeckSF,OpenPorchSF,PoolArea
5,2198,9,14260,836,250000,8,2000,2000,1145,1053,NoRidge,CompShg,1,84.0,1145,350.0,192,84,0
7,1694,7,10084,636,307000,8,2004,2005,1686,0,Somerst,CompShg,1,75.0,1694,186.0,255,57,0
12,2324,11,11924,736,345000,9,2005,2006,1175,1142,NridgHt,CompShg,1,85.0,1182,286.0,147,21,0
14,1494,7,10652,840,279500,7,2006,2007,1494,0,CollgCr,CompShg,1,91.0,1494,306.0,160,33,0
21,2376,9,14215,853,325300,8,2005,2006,1158,1218,NridgHt,CompShg,1,101.0,1158,380.0,240,154,0
23,1795,7,9742,534,230000,8,2002,2002,1777,0,CollgCr,CompShg,1,75.0,1795,281.0,171,159,0
35,1561,6,7313,556,277500,9,2005,2005,1561,0,NridgHt,CompShg,1,60.0,1561,246.0,203,47,0
36,2452,9,13418,691,309000,8,2004,2005,1117,1320,NridgHt,CompShg,1,108.0,1132,132.0,113,32,0
46,1752,6,7658,576,319900,9,2005,2005,1752,0,NridgHt,CompShg,1,61.0,1752,412.0,196,82,0
57,1739,7,2645,480,172500,8,1999,2000,970,756,Somerst,CompShg,1,24.0,983,456.0,115,0,0
59,2945,10,13682,641,438780,10,2006,2006,1410,1519,StoneBr,CompShg,1,66.0,1426,1031.0,192,0,0
63,1370,6,6442,484,202500,8,2006,2006,1370,0,NridgHt,CompShg,1,44.0,1370,178.0,120,49,0
66,2473,9,9591,852,317000,8,2004,2005,1143,1330,NridgHt,CompShg,1,76.0,1143,344.0,192,151,0
68,1479,7,10665,558,226000,7,2003,2003,1453,0,CollgCr,CompShg,1,72.0,1479,167.0,144,29,0
71,2223,8,13651,516,244000,7,1973,1973,2223,0,NAmes,CompShg,1,95.0,2223,1115.0,300,0,0
83,1563,6,10206,758,245000,8,2007,2007,1563,0,Somerst,CompShg,1,78.0,1563,468.0,144,99,0
84,1065,6,8892,461,126500,5,1960,1960,1065,0,NAmes,CompShg,1,80.0,1065,66.0,74,0,0
86,2417,9,16059,462,260000,8,1991,1992,1288,1116,NoRidge,CompShg,1,121.0,1301,284.0,127,82,0
97,1588,6,10264,472,214000,7,1999,1999,1588,0,CollgCr,CompShg,1,78.0,1588,183.0,158,29,0
98,960,6,10921,432,94750,4,1965,1965,960,0,Edwards,CompShg,1,73.0,960,48.0,120,0,0
102,1732,7,9206,476,178000,6,1985,1985,741,755,SawyerW,CompShg,1,77.0,977,336.0,192,46,0
106,1992,9,9375,648,250000,8,2003,2004,1053,939,Somerst,CompShg,1,75.0,1053,768.0,140,45,0
113,2696,10,9965,792,383970,7,2007,2007,1264,1414,CollgCr,CompShg,1,77.0,1282,220.0,120,184,0
129,1348,6,7590,453,155000,6,1966,1966,660,688,NAmes,CompShg,1,69.0,660,266.0,188,108,0
131,2157,8,14200,487,226000,7,1966,1966,924,941,NAmes,CompShg,1,88.0,1216,309.0,105,66,0
136,1682,7,10400,530,174000,7,1970,1970,1304,0,NWAmes,CompShg,1,80.0,1682,288.0,98,0,0
139,1852,7,9066,660,230000,8,1999,2000,1004,848,CollgCr,CompShg,1,73.0,1004,320.0,224,106,0
144,1501,6,10335,577,204000,7,1999,1999,1490,0,CollgCr,CompShg,1,78.0,1501,183.0,144,29,0
